Inglese;Italiano;Frase inglese;Traduzione frase
develop;sviluppare;Develop your idea before presenting it to the boss;Sviluppa la tua idea prima di presentarla al capo
sleep;dormire;During the week she goes to sleep at 9.00;Durante la settimana lei va a letto alle 9.00
warm;caldo;Can green be considered a warm color?;Il verde può essere considerato un colore caldo?
free;libero;Feel free to contact us for further information;Sentiti libero di contattarci per ulteriori informazioni
minute;minuto;Dinner will be ready in a minute;La cena sarà pronta tra un minuto
strong;forte;Can I have a strong coffee?;Potrei avere un caffè forte?
special;speciale;There is a special gift for you;C’è un regalo speciale per te
mind;mente;We ignore a lot of the things mind can do;Ignoriamo molte delle cose che la mente può fare
behind;dietro;Right behind the post office there is a good pub;C’è un bel pub proprio dietro le poste
clear;chiaro;The intention of the government is not clear;L’intenzione del governo non è chiara
tail;coda;Do not pull the dog’s tail;Non tirare la coda del cane
produce;produrre;This year we are going to produce a new wine;Quest’anno produrremo un nuovo vino
fact;fatto;These facts have clear consequences;Questi fatti hanno conseguenze evidenti
street;strada;The street in front of the school is closed;La strada di fronte alla scuola è chiusa
inch;pollice;How many centimetres is a inch?;Quanti centimetri è un pollice?
lot;molto;I usually put a lot of sugar in the coffee;Metto sempre molto zucchero nel caffè
nothing;niente;I see that nothing has changed;Vedo che nulla è cambiato
course;corso;My Russian course is at five o’clock;Il mio corso di russo è alle cinque
stay;stare;Stay here, I’ll be right back;Stai qui, torno subito
wheel;ruota;Have you ever bought a cheese wheel;Hai mai comprato una ruota di formaggio?
full;pieno;Their house is full of books;La loro casa è piena di libri
force;forzare;We should force the door;Dovremmo forzare la porta
blue;blu;Your eyes are blue like the sea;I tuoi occhi sono blu come il mare
object;oggetto;Which is the object of the conversation?;Qual è l’oggetto della conversazione?
decide;decidere;Parents have to decide for their kids;I genitori devono decidere per i propri figli
surface;superficie;Today the surface of the sea is flat;Oggi la superficie del mare è piatta
deep;profondo;The Pacific Ocean is the deepest of the world;L’Oceano Pacifico è il più profondo al mondo
moon;luna;Unfortunately the moon is behind the clouds;Sfortunatamente la luna è dietro le nuvole
island;isola;Islands make me feel claustrophobic;Soffro di claustrofobia sulle isole
foot;piede;You are right on my foot;Sei proprio sul mio piede
yet;ancora;Aren’t they here yet?;Non sono ancora arrivati?
busy;occupato;The boss is busy, try to call later;Il capo è impegnato, provi a chiamare più tardi
test;test;Tomorrow I have my Russian test;Domani ho l’esame di russo
record;record;Who can memorize a bunch of cards in a record time?;Chi riesce a memorizzare un mazzo di carte in un tempo record?
boat;barca;Fishermen usually use small boats;I pescatori di solito usano piccole barche
common;comune;I’m still wondering what the hell do we have in common;Mi chiedo ancora cosa diavolo abbiamo in comune
gold;oro;The ring is available both in red or white gold;L’anello è disponibile in oro rosso o bianco
possible;possibile;Is it possible to rent a car?;E’ possibile noleggiare una macchina?
plane;aereo;There are no seats left on the plane;Non ci sono più posti liberi in aereo
age;età;At what age did you get the driving licence?;A che età hai preso la patente?
dry;secco, asciutto;Is the soup too dry?;E’ troppo asciutta la minestra?
wonder;chiedersi;I wonder why are you so nervous;Mi chiedo perché tu sia così nervoso
laugh;ridere;The way you laugh is contagiuos;Hai una risata contagiosa
thousand;mille;A live a thousand miles from here;Vivo a mille miglia da qui
ago;fa;I moved here ten years ago;Mi sono trasferito qui dieci anni fa
ran;passato di run;The thief ran away so fast that he could escape;Il ladro è corso via così velocemente che è riuscito a scappare
check;controllo;I need to check your passport;Devo controllare il suo passaporto
game;gioco;There are a lot of new pc games;Ci sono un sacco di nuovi giochi per il pc
shape;forma;My mother is in really in good shape;Mia madre è davvero in gran forma
yes;sì;Can I go out with Jessica? Please, say yes!;Posso uscire con Jessica? Ti prego, di’ di sì!
hot;caldo;We had a hot june this year;Quest’anno giugno è stato molto caldo
miss;mancare;I miss my father so much;Mi manca così tanto mio padre
brought;passato di bring;I brought you the articles you asked me;Ti ho portato gli articoli che mi hai chiesto
heat;riscaldamento;Is the heat on?;E’ acceso il riscaldamento?
snow;neve;This week we had ten centimetres of snow;Questa settimana sono caduti dieci centimetri di neve
bed;letto;Fred usually goes to bed at 11.00;Fred va sempre a letto alle 11.00
bring;portare;It’s your turn to bring the kids to school;Porta i bambini a scuola, è il tuo turno
sit;sedersi;Sit down and enjoy the show!;Sedetevi e godetevi lo spettacolo!
perhaps;forse;He won’t tell me, perhaps he will tell you;Forse lo dirà a te, non a me
fill;riempire;Fill my glass with a good wine;Riempimi il bicchiere con del buon vino
east;est;I live east of the river;Vivo a est del fiume
weight;peso;Grandmother stars feeling the weight of the years;La nonna inizia a sentire il peso degli anni
language;linguaggio;How many languages do you speak?;Quante lingue parli?
among;tra, in mezzo;Please, talk among yourselves;Per favore parlate tra voi
